Search term,Source language,to: cs,to: da,to: de,to: el,to: en,to: es,to: et,to: fi,to: fr,to: hu,to: it,to: lt,to: nl,to: pl,to: pt,to: ro,to: sv
a kezdeti,en,﻿kezdeti,﻿en kezdeti,﻿a ketdeti,﻿A kezdeti,,﻿kevdeti,﻿a kezdeti,﻿a kezdeti,﻿un kezdeti,﻿a ketti,﻿kozdeti,﻿a kezdeti,﻿een ketzdeti,﻿a kizdeti,﻿um kezdeti,﻿kezdeti,﻿a kezdeti
afrika,en,﻿Afrika,﻿Afrika,﻿Afrika,﻿Afrika,,﻿Afrika,﻿Afrika,﻿Afrika,﻿Afrique,﻿Afrika,﻿Afrika,﻿Afrika,﻿Afrika,﻿Afrika,﻿Afrika,﻿AFRIKA,﻿Afrika
pratica legale,it,﻿právní praxe,﻿retspraksis,﻿Rechtsanwälte,﻿νομική πρακτική,﻿legal practice,﻿práctica jurídica,﻿õiguspraktika,﻿oikeuskäytäntö,﻿pratique juridique,﻿joggyakorlat,,﻿teisinė praktika,﻿rechtspraktijk,﻿kancelaria Adwokacka,﻿prática jurídica,﻿practica juridică,﻿rättslig praxis
alexander the great hellespont,en,﻿Alexandr velký Hellespont,﻿Alexander the Great Hellespont,﻿Alexander der große Hellektor,﻿Μέγας Αλέξανδρος,,﻿Alexander the Great Hellepont,﻿Aleksander Great Hellepont,﻿Alexander the Great Hellespont,﻿Alexander la grande Hellétit,"﻿Alexander, nagy spondspondot",﻿Alessandro la grande Hellesponcrate,﻿Alexander the Great Hellespont,﻿Alexander de grote Hellessponsort,﻿Aleksandr wielki Hellespont,﻿Alexander Hellespont,﻿Alexander Marele Hellespont,﻿Alexander the stora Hellespont
alba amicorum,nl,﻿Alba amicorum,﻿alba amiciorum,﻿Alba amimorum,﻿alba amalorum,﻿alba amicorum,﻿Alba amicorum,﻿alba amiorum,"﻿alba, amicus",﻿alba amomiorum,﻿alba,﻿alba amicorum,﻿alba amcorum,,﻿alba amikorum,﻿Alba amicorum,﻿alba ichorum,﻿alba amicorum
asia minor,el,﻿Asie méně závažná,﻿Asien mindre,﻿Asia minor,,﻿Asia minor,﻿Asia menor,﻿Väike Aasia,﻿Aasian vähäinen määrä,﻿Asie mineure,﻿Asia minor,﻿Asia minore,﻿Azijos nepilnametis,﻿Asia minor,﻿Asia minor,﻿No caso da Ásia,﻿Asia minoră,﻿Asia minor
alamander,en,﻿Alramder,﻿alamander,﻿Alamider,﻿αλamander,,﻿alamander,﻿Ballander (liigist,﻿lamparadoria,﻿Amalander,﻿alambander,﻿alamander,﻿alamander,﻿alamander,﻿alamander,﻿calúnia,﻿alamander,﻿alamander
alamut,en,﻿amlamut,﻿Alamit,﻿Alamut,﻿Alamut,,﻿alamut,﻿Alamut,﻿Alam,﻿Alamut,﻿Alamut,﻿Alamut,﻿alamut,﻿Alamant,﻿Alamut,﻿Alamut,﻿Alamut,﻿Alamut
Admiral Rolf carls,de,﻿Admirál Rolf Carls,﻿Admiral Rolf Carls,,﻿Αντιναύαρχος Rolf Carls,﻿Admiral Rolf Carls,﻿Almirante Rolf Carls,﻿Admiral Rolf Carls,﻿Amiraali Rolf Carls,﻿Amiral Rolf Carls,﻿Rolf Carls admirális,﻿Dott. Ammiraglio Rolf Carls,﻿Admirolas Rolf Carls,﻿Admiraal Rolf van Carls,﻿Admirał Rolf Carls,﻿Contra-almirante Rolf Carls,﻿Contraamiral Rolf Carls,﻿Amiral Rolf Carls
rodzina artystyczna,pl,﻿umělecká rodina,﻿Kunstfamilie,﻿Kunsterfamilie,﻿καλλιτεχνική οικογένεια,﻿artistic family,﻿familia artística,﻿kunstiline perekond,﻿taideperhe,﻿famille artistique,﻿művészeti család,﻿famiglia artistica,﻿meninė šeima,﻿kunstfamilie,,﻿família artística,﻿familia artistică,﻿konstnärlig familj
potrawy wigilijne,pl,﻿miska na misce,﻿parabol,﻿Parabolantenne,﻿πιάτο της κάψας,﻿dish’s dish,﻿plato para antena,﻿nõu ja nõu,﻿ruokalaji,﻿plat du plat,﻿csésze,﻿piatto piatto del piatto,﻿biuksas,﻿schotel voor het gerecht,,﻿prato da cápsula,﻿mâncare pentru vase,﻿rätt för parabolantenn
Agatha Christie,es,﻿Paní Agatha Christieová,﻿Agatha Christie,﻿Agatha Christie,﻿Η Αγκάθα Κρίστι,﻿Agatha Christie,,﻿Agatha Christie,﻿Agatha Christie,﻿Agatha Christie,﻿Aghara Christie,﻿Agatha Christie,﻿Agatha Christie,﻿Agatha Christie,﻿Agatha Christie,﻿Agatha Christie,﻿Agatha Christie,﻿Agata Christie
Liberty,cs,,﻿Frihed,﻿Freiheit,﻿Ελευθερία,﻿Liberty,﻿Libertad,﻿Vabadus,﻿Vapaa,﻿Liberty,﻿Szabadság,﻿Libertà,﻿Laisvė,﻿Vrijheid,﻿Liberty,﻿Liberdade,﻿Libertate,﻿Frihet
Alcea carvertii,en,﻿Alcea carvertii,﻿Alcea carvertii,﻿Alcea carvertii,﻿Alcea carvertii,,﻿Alcea carvertii,﻿Alcea carvetii,﻿Alcea carvertii,﻿Alcea carvertii,﻿Alcea carvertii,﻿Alcea carvertii,﻿Alcea carvertii,﻿Alcea carvertii,﻿Alcea carvertii,﻿Alcea carvertii,﻿Alcea Carvertii,﻿Alcea carvertii
jillings,nl,﻿Jillávky,﻿Boringer,﻿Schlußabrechnungen,﻿Σελίνια,﻿Jillings,﻿Chelines,﻿Šilling,﻿Jimus,﻿Nombre de forages,﻿Jelling,﻿Lavori di scellamento,﻿Jogręžiniai,,﻿Szyling,﻿(...) (...) (a),﻿Foraje,﻿Janiller
gatto nero,it,﻿kočka obecná,﻿sort kat,﻿schwarze Katze,﻿μαύρη αγριόγατα,﻿black cat,﻿gato negro,﻿must kass,﻿mustakissat,﻿chat noir,﻿fekete macska,,﻿Juodoji katė,﻿zwarte kat,﻿kot czarny,﻿Gato-bravo preto,﻿pisică neagră,﻿svart katt
Angel saavedra,en,﻿Angel Saavedra,﻿Angel Saavedra,﻿Angel Saavedra,﻿Angel Saavedra,,﻿Angel Saavedra,﻿Angel Saevedra,﻿Angel Saavedra,﻿Angel Saavedra,﻿Angel Saavedra,﻿Angel Saavedra,﻿Angel Saavedra,﻿Angel Saavedra,﻿Anioł Saavedra,﻿Angel Saavedra,﻿Angel Saavedra,﻿Angel Saavedra
rive gauche,en,﻿Rive Gauche,﻿Rive gauche,﻿Rive gauche,﻿Rive gauche,,﻿Rive gauche,﻿Rive gauche,﻿Rive gauche,﻿Rive GAUCHE,﻿rive gauche,﻿Rive gauche,﻿Riove gauche,﻿Rive gauche,﻿Rive gauche,﻿Rive gauche,﻿Rive gauche,﻿Rive-gauche
MIERES,es,﻿POLICIE,﻿POLITI,﻿POLIZEI,﻿ΑΣΤΥΝΟΜΊΑ,﻿POLICE,,﻿POLITSEI,﻿POLIISI,﻿POLICE,﻿RENDŐRSÉG,﻿POLIZIA,﻿POLICIJA,﻿POLITIE,﻿POLICJA,﻿POLÍCIA,﻿POLIȚIE,﻿POLIS
grand hotel java,en,﻿Grand hotel java,﻿hotel java,﻿Grand Hotel Java,﻿Grand Hotel java,,﻿Grand Hotel java,﻿Grand Hotel java,﻿suurhotelli java,﻿grand Hotel java,﻿nagyhotel java,﻿Grand Hotel java,﻿Grand Hotel Java,﻿Grand Hotel java,﻿Grand Hotel java,﻿Grand hotel java,﻿Grand Hotel java,﻿Grand Hotel Java
aballea,en,﻿ablea...,﻿aballea...,﻿Aballea...,﻿aballea...,,﻿aboralcosa...,﻿aballea...,﻿aballesa...,﻿abslea...,﻿ABALABA...,﻿aballeli...,﻿ableera...,﻿Ballea...,﻿aballela...,﻿abala...,﻿aballea...,﻿aballela...
diesel elettric,en,﻿motorová nafta...,﻿Dieselelettric...,﻿Dieselantrieb...,﻿Diesel etlectric...,,﻿gasóleo en la medida en que...,﻿Diislikütteletric...,﻿diesel trictric...,﻿elettric diesel...,﻿dízel,﻿diesel elettrico...,﻿„Dyzelletric“...,﻿electroelectric...,﻿Elektronik oleju napędowego (dietlettryl),﻿elementos motores diesel...,﻿nr. diesel...,﻿dieselläge...
air forces,en,﻿vzdušné síly,﻿luftstyrker,﻿Luftstreitkräfte,﻿αεροπορικές δυνάμεις,,﻿fuerzas aéreas,﻿õhujõud,﻿ilmavoimat,﻿forces aériennes,﻿légierő,﻿forze aeree,﻿oro pajėgos,﻿luchtkrachten,﻿siły powietrzne,﻿forças aéreas,﻿forțele aeriene,﻿flygstyrkor
manuel ojeda,es,﻿Manuel Ojeda,﻿Manuel Ojeda,﻿Manuel Ojda,﻿Manuel Ojeda,﻿Manuel Ojeda,,﻿Manuel Ojeda,﻿Manuel OJeda,﻿Manuel Ojeda,﻿Manuel Ojeda,﻿Manuel Ojeda,﻿Manuel Ojeda,﻿Manuel OJEDA,﻿Manuel Ojeda,﻿Manuel Ojeda,﻿Manuel Ojeda,﻿Manuel Ojeda
adele list,en,﻿seznam Adele,﻿Adele list,﻿Adel-Liste,﻿κατάλογος Adele,,﻿Adelle list,﻿Adele nimekiri,﻿Adelen luettelo,﻿liste d’Adele,﻿Adele-lista,﻿elenco di Adele,﻿Adele sąrašas,﻿Adele-lijst,﻿Adeile list,﻿lista Adele,﻿lista Aderilor,﻿Adele lista
akkadische lesestucke,en,﻿akkardasche lesestucke,﻿Akkadische lesestucke,﻿akkale lesestucke,﻿akkadische leevucke,,﻿kkadische leseluccke,﻿akkadinische lesestucke,﻿akkdische lesestuucke,﻿akkadische lesestucke,﻿akkiadische ledestucke,﻿akkadische lesestucke,﻿akkische lessestucke,﻿akkadische lebleucke,﻿akkarsche lesestucke,﻿akkadische lesestucke,﻿akkadische lesestucke,﻿akkadische lesestucke
Enfermeras visitadoras,es,﻿Návštěva zdravotních sester a ošetřovatelů,﻿Gæstesygeplejersker,﻿Besuch von Krankenpflegepersonal,﻿Επισκέπτες νοσοκόμοι,﻿Visiting nurses,,﻿Õdede arv,﻿Vierailevat sairaanhoitajat,﻿Infirmiers en visite,﻿Vendégápolók,﻿Infermieri ospiti,﻿Vizituojantys slaugytojai,﻿Gastverpleegkundigen,﻿Wizytowane pielęgniarki,﻿Pessoal de enfermagem,﻿Asistenți medicali aflați în vizită,﻿Besökande sjuksköterskor
aerial warfare,da,﻿riziko letecké techniky,,﻿Risiko des Schranks aus der Luft,﻿κίνδυνος του εναέριου θαλάμου,﻿aerial cabinet risk,﻿riesgo de armario aéreo,﻿Kater-kabinetirisk,﻿Herauskaapin riski,﻿risque lié à une armoire aérienne,﻿légi bútorkockázat,﻿rischio aereo,﻿oro šaldymo spintos rizika,﻿risico door de antenne,﻿ryzyko związane z gabinetem z powietrza,﻿risco de armários de antenas,﻿risc de cabinet de pilotaj,﻿luftskåpets risk
advertisement,en,﻿reklama,﻿reklame,﻿Werbung,﻿διαφήμιση,,﻿anuncio,﻿reklaam,﻿mainonta,﻿publicité,﻿reklám,﻿pubblicità,﻿reklama,﻿reclame,﻿reklama,﻿publicidade,﻿publicitate,﻿reklam
Adolfo caccia,en,﻿Adolfo kaktcia,﻿Adolfo caccia,﻿Adolfo Kaccia,﻿Adolfo caccia,,﻿Adolfo caccia,﻿Adolfo caccia,﻿Adolfo cacciaa,﻿Adolfo caccia,﻿Adolfo caccia,﻿Paternità Adolfo,﻿Adolfo caccia,﻿Adolfo caccia,﻿Adolfo caccia,﻿Adolfo cáccia,﻿Adolfo Caccia,﻿Adolfo caccia
der wappen,it,﻿tuška,﻿der widle,﻿der Wappen,﻿der wpen,﻿der wpen,﻿der wpen,﻿P der wpen,﻿der wpen,﻿der wpen,﻿der wpen,,﻿„der wpen“,﻿der wpen,﻿dokument roboczy,﻿der wpen,﻿der wpen,﻿der wnan
a hombros de gigantes,es,﻿jako krajka na pleci,﻿som kæmpeskuldre,﻿als Riesenreifen,﻿ως γιγαντοωμοπλάτες,﻿as giant shoulders,,﻿hiiglaslik abaosa,﻿jättiläishartiat,﻿en tant qu’épaules géantes,﻿óriás leállóként,﻿in funzione delle migliori spalle,﻿kaip milžiniški menčiai,﻿als reuzenberham,﻿tak jak gigantyczne łopatki,﻿como grandes ombros,﻿ca spată de gigantic,﻿som gigantiska axlar
natale di sangue,it,﻿Vánoce krve,﻿Julen af blod,﻿Weihnachtsfest,﻿Χριστούγεννα του αίματος,﻿Christmas of blood,﻿Sangre de Navidad,﻿Jõulusaar,﻿Vapaa,﻿Noël du sang,﻿Vér karácsonyára,,﻿Kalėdinis kraujo Kalėdas,﻿Kerstfeest,﻿Boże Narodzenie,﻿Natal do sangue,﻿Crăciunul din sânge,﻿Julett
aberystwyth,en,﻿Aberystwyth,﻿Aberystwyth,﻿Aberystwyth,﻿Aberystwyth,,﻿Aberystwyth,﻿Aberystwyth,﻿Aberystwyth,﻿Aberystwyth,﻿Aberystwyth,﻿Aberystwyth,﻿Aberystwyth,﻿Aberystwyth,﻿Aberystwyth,﻿Aberystwyth,﻿Aberystwyth,﻿Aberystwyth
Albert casimir,nl,﻿Albert Casimir,﻿Albert Casimir,﻿Albert Casimir,﻿Albert Casimir,﻿Albert casimir,﻿Albert Casimir,﻿Albert Casimir,﻿Albert Casimir,﻿Albert Casimir,﻿Albert Casmir,﻿Albert Casimis,﻿Albert Caasimir,,﻿Albert Casimir,﻿Albert Casimir,﻿Albert Casimir,﻿Albert Casimir
ailleboust,fr,﻿ailleboust,﻿slileboust,﻿„illeboustanst“,﻿ailleboust,﻿ailleboust,﻿Ileboust,﻿illebostist,﻿ailleboust,,﻿csailboulst,﻿ailleboust,﻿ailleboust,﻿ailleboust,﻿aillebousty,﻿aileboust,﻿elleboulst,﻿Gailboust
aeolian harp,pl,﻿harfy aelian harcold,"﻿""amarisk harp""",﻿Aelian Harp,﻿ΑΡΑΛΟΓΙΚΟΣ ΑΡΓΥΡΟΣ,﻿aelian harp,﻿HARP,﻿arheoloogiline grööni hargröö@@,﻿Aelian HARP,﻿Aurian harp,﻿Aelian Harp,﻿Hippoglossus hippoglossus,﻿Ekstraherio grenlandinis har@@,﻿Elaap,,﻿harpa («haran harpa»),﻿Aelian harpă,﻿Elaeli Harp
aerial warfare,cs,,﻿uagtsomme warrants,﻿zufällige Optionsscheine,﻿πιστοποιητικά τυχαίας επιλογής,﻿accidental warrants,﻿certificados de opción (warrants) accidentales,﻿juhuslikud ostutähed,﻿varsinaiset warrantit,﻿les mandats accidentels,﻿baleseti warrantok,﻿mandati accidentali,﻿netyčiniai varantai,﻿ongewenste warrants,﻿warranty,﻿warrants acidentais,﻿warrante accidentale,﻿oförutsedda teckningsoptioner
martinez de junquera,fr,﻿Martinez de Junquera,﻿Martinez de Junquera,﻿Herr Martinez de Junquera,﻿Martinez de Junquera,﻿Martinez de Junquera,﻿Martínez de Junquera,﻿Martinez de Junquera,﻿Martinez de Junquera,,﻿Martinez de Junquera,﻿Martinez de Junquera,﻿Martinez de Junkera,﻿Martinez de Junquera,﻿Martinez de Junquera,﻿Martinez de Junquera,﻿MARTINEZ de Junquera,﻿Martinez de Junquera
queen elizabeth II,en,﻿královna Alžběta II.,﻿dronning Elizabeth II,﻿Königin Elizabeth II.,﻿η Βασίλισσα Ελισάβετ ΙΙ,,﻿reina Isabel II,﻿kuninganna Elizabeth II,﻿kuningatar Elisabet II,﻿la reine Elisabeth II,﻿Queen Elizabeth II,﻿Regina Elisabetta II,﻿karalienė Elžbieta II,﻿koningin Elizabeth II,﻿królowa Elżbieta II,﻿Rainha Isabel II,﻿Regina Elisabeta a II-a,﻿drottning Elizabeth II
achieving Student Reading Competency In Digital And Print Text,en,﻿dosažení nezpůsobilosti studentů a čtenářů v digitálním a tištěném textu,﻿opnåelse af studiekompetencer i Digital og Print Text,﻿LesekompetenzkompetenzIn Digital und Print Text,﻿επίτευξη επάρκειας ανάγνωσης δεξιοτήτων σε ψηφιακή μορφή και κειμένου εκτύπωσης,,﻿superación de la aptitud para la lectura del estudiante en el texto digital y en formato digital,﻿Readinitiative Reading Exampling (Student Reading exmp@@,﻿oppimistulosten saavuttaminen digitaali- ja tulostussatelliittitiedostossa,﻿mise en place d’une compétence en matière de lecture pour les étudiants en format numérique et d’impression,﻿a diákok olvasásával kapcsolatos készségek elérése a digitális és nyomtatott szöveg tekintetében,﻿conoscenza delle competenze per la lettura degli studenti. testo in materia di digitalizzazione e di lettura,﻿pasiekti studentų skaitymo gebėjimų skaitmeninio ir spausdinto teksto skaitymo dalykus,﻿het behalen van het kunstleer van leerlingen in digitale en gedrukte tekst,﻿osiągnięcie umiejętności czytania w czytelniach w sektorze cyfrowym i w czytelnictwie cyfrowym,﻿obtenção de competências em matéria de leitura de estudantes no texto,﻿obținerea competențelor de citire a studenților În textul digital și imprimat,﻿att uppnå kompetens i läsförståelse för digitala och tryckta texter
aaron florian,ro,﻿Aaron Florian,﻿Aaron Florian,﻿Aaron Florian,﻿Aaron Florian,﻿Aaron Florian,﻿Aaron Florian,﻿Aaron Florian,﻿Aaron Florian,﻿Aaron Florian,﻿Aaron Florian,﻿Aaron Florian,﻿Aaron Florian,﻿Aaron Florian,﻿Florian Aaron Florian,﻿Aaron Florian,,﻿Aaron Florian
VITA ROSAE,en,﻿VITA ROSAE,﻿VITA ROSAE,﻿VITA ROSAE,﻿VITA ROSAE,,﻿VITA ROSAE,﻿VITA ROSAE,﻿VITA ROSAE,﻿VITA ROSAE,﻿VITA ROSAE,﻿VITA ROSAE,﻿VITA ROSAE,﻿VITA ROSAE,﻿VITA ROSAE,﻿VITA ROSAE,﻿VITA ROSAE,﻿VITA ROSAE
alberto frances serra,es,﻿Alberto frity,﻿Alberto Tandces Serra,﻿Alberto Friices Serra,﻿Alberto frices Serra,﻿Alberto frices Serra,,﻿Alberto Rifris Serra,﻿Alberto raices Serra,﻿Alberto frittes Serra,﻿Alberto frices Serra,﻿Alberto frices Serra,﻿Alberto frits Serra,﻿Alberto fries Serra,﻿Alberto Fratices Serra,﻿Alberto frimes Serra,﻿Alberto fruit Serra,﻿Alberto freices Serra
alhajas de luto,es,﻿drobné praskliny,﻿små revner,﻿kleine Risse,﻿μικρές σχισμές,﻿small cracks,,﻿väikesed praod,﻿pienet halkeamat,﻿petites fissures,﻿kis repedések,﻿piccole incrinature,﻿smulkūs įtrūkimai,﻿barsten in kleine barsten,﻿małe pęknięcia,﻿pequenas fissuras,﻿crăpături mici,﻿små sprickor
adolf eichmann,en,﻿Adolf Eichmann,﻿Adolf Eichmann,﻿Adolf Eichmann,﻿Adolf Eichmann,,﻿Adolf Eichmann,﻿Adolf Eichmann,﻿Adolf Eichmann,﻿Adolf Eichmann,﻿Adolf Eichmann,﻿Adolf Eichmann,﻿Adolf Eichmann,﻿Adolf Eichmann,﻿Adolf Eichmann,﻿Adolf Eichmann,﻿Adolf Eichmann,﻿Adolf Eichmann
albania,en,﻿Albánie,﻿Albanien,﻿Albanien,﻿Αλβανία,,﻿Albania,﻿Albaania,﻿Albania,﻿Albanie,﻿Albánia,﻿Albania,﻿Albanija,﻿Albanië,﻿Albania,﻿Albânia,﻿Albania,﻿Albanien
banyan,en,﻿Banyan,﻿Banyan,﻿Banyan,﻿Banyan,,﻿Banyan,﻿Banyan,﻿Banyanin,﻿Banyan,﻿Banian,﻿Banyan,﻿Banyan,﻿Banyan,﻿Banyan,﻿Banyan,﻿Banyan,﻿Banyan
abba,es,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA,,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA
albanaise,de,﻿za Rakouskou republiku,﻿for Republikken Østrig,,﻿για τη Δημοκρατία της Αυστρίας,﻿for the Republic of Austria,﻿por la República de Austria,﻿Austria Vabariigi nimel,﻿Itävallan tasavallan puolesta,﻿albanaise...,﻿az Osztrák Köztársaság részéről,﻿per la Repubblica D'Austria,﻿Austrijos Respublikos vardu,﻿voor de Republiek Oostenrijk,﻿w imieniu Republiki Austrii,﻿pela República da Áustria,﻿pentru Republica Austria,﻿för Republiken Österrike
Consuegra,es,﻿Consuegra,﻿Consuegra,﻿Consuegra,﻿Consuegra,﻿Consuegra,,﻿Consuegra,﻿Consulegra,﻿Consuegra,﻿Consuegra,﻿Consuegra,﻿Consuegra,﻿Consuegra,﻿Consuegra,﻿Consuegra,﻿Consuegra,﻿Consuegra
Indje holenderskie,pl,﻿Nizozemsko Indicje...,﻿Nederlandene Indije...,﻿Niederlande Indicje...,﻿Κάτω Χώρες Indicje...,﻿Netherlands Indicje...,﻿Países Bajos:...,﻿Holland: indije...,﻿Alankomaiden Indije...,﻿Pays-Bas Indije...,﻿Netherlands Indicje...,﻿Indice dei Paesi Bassi,﻿Nyderlandų Indica...,﻿Nederland Indicaje...,,﻿Países Baixos índice...,﻿Țările de Jos — Indicje...,﻿Nederländerna Indije...
alcidus,hu,﻿Alcidus,﻿Alcidus,﻿Alcidus,﻿Alcidus,﻿Alcidus,﻿Alcidus,﻿Alccius,﻿Alccius,﻿Alcidus,,﻿Alcidus,﻿Alcidus,﻿Alcidus,﻿Alcidus,﻿Alcidus,﻿Alcidus,﻿Alcidus
Studien zur Geschichte des deutschen Imperialismus,pl,﻿Studien zur Gesschichte des deutschen Imperialismus,﻿Studioen zur Geschte des deutschen Imperialimus,﻿Studien zur Geschichte des deutschen Imperialismus,﻿Studien zur Geschichte des deutschen Imperalismus,﻿Studien zur Geschichte des deutschen Imperialismus,﻿Studien zur Geschichte des deutschen Imperialismus,﻿Studien zur Geschicte des deutschen Imperimus,﻿Deutschen Imperialmus Studien zur Geschichte,﻿Studien zur Geschichte des deutschen Imperialismus,﻿Studien zur Geschicchte des deutschen Imperialismus,﻿Studien zur Geschichte des deutschen Imperialismo,﻿Studien zur Geschichte des deutschen Imperialalizmus,﻿Studienten des deutschen Imperialismus,,﻿Studien zur Geschichte des deutschen Imperalimus,﻿Studien zur Geschichte des deutschen Imperialimus,﻿Studie zur Geschichte des deutschen Imperialismus
bartolome domenech,en,﻿Bartotomu Domenech,﻿Bartolome Domenech,﻿Bartolome Domenech,﻿Bartolome Domenech,,﻿Bartoloome Domenech,﻿Bartotoom Domenech,﻿Bartoperme Domenech,﻿Bartolome Domenech,﻿Bartolome Domenech,﻿Bartolo-Domenech,﻿Domenech Bartolome,﻿Bartolome Domieech,﻿pozyskane ze środowiska naturalnego,﻿Bartodome Domech,﻿Bartolom Domenech,﻿Bartolome Domenich
Africa,en,﻿Afrika,﻿Afrika,﻿Afrika,﻿Αφρική,,﻿África,﻿Aafrika,﻿Afrikka,﻿Afrique,﻿Afrika,﻿Africa,﻿Afrika,﻿Afrika,﻿Afryka,﻿África,﻿Africa,﻿Afrika
Acacia in Flowers,en,﻿Akátová in Flowers,﻿Akaciegummi i Flowers,﻿Akaziazien in Flowers,﻿Ακακία στο Flowers,,﻿Acacia in Flowers,﻿Acacia Flowers,﻿Akaasia Figures in Flowers,﻿Acacia à Flowers,﻿Akác a Flowers területén,﻿Acacia in Flowers,﻿Acacia in Flowers,﻿Acacia bij Flowers,﻿Acacia w Flowers,﻿Acacia na Flowers,﻿Flori de salcâm,﻿Akacia i Blommor
Adam Mickiewicz,et,﻿Pan Adam Mickiewicz,﻿Adam Mickiewicz,﻿Herr Adam Mickiewicz,﻿Ο κ. Adam Mickiewicz,﻿Mr Adam Mickiewicz,﻿Adam Mickiewicz,,﻿Adam Mickiewicz,﻿M. Adam Mickiewicz,﻿Adam Mickiewicz,﻿Adam Mickiewicz,﻿Adomo Mickeviwicz,﻿De heer Adam Mickiewicz,﻿SZ. p. Adama Mickiewicza,﻿Adam Mickiewicz,﻿Dl Adam Mickiewicz,﻿Adam Mickiewicz
aerodinamica y actuaciones,es,﻿aerodynamika a akce,﻿aerodynamica og handlinger,﻿Aerodynamik und Maßnahmen,﻿aerδυναμΙCA και δράσεις,﻿aerodynamica and actions,,﻿aerodünamiat ja selle meetmed,﻿aerodynamica ja aerodynamiikkatoiminnot,﻿aérodynaca et actions,﻿aerodinamica és -intézkedések,﻿aerdinamica e azioni,﻿aerodinamerica ir veiksmai,﻿aerodynamica en acties,﻿aerodynamika i działania,﻿aerodinamica e ações,﻿aerodinamica și acțiuni,﻿aerodynamica och åtgärder
albarracin,es,﻿Albarracin,﻿Albarracin,﻿Albarracin,﻿Albarrain,﻿Albarracin,,﻿Albarracin,﻿Albarracin,﻿Albarracine,﻿Albarracein,﻿Albarracin,﻿Albarracinas,﻿Albarracin,﻿Albarracin,﻿Albarcina,﻿Albarracin,﻿Albarracin
Mont Blanc stereoview,en,﻿Mont Blanc,﻿Mont Blanc stereosis,﻿Mont Blanc-Stereoview,﻿Λευκή στερεότυπη έκθεση (Mont Blanc),,﻿Mont Blanc esteream,﻿Mont Blanc stereovaade,﻿Mont Blancin stereonäkökanta,﻿Stéréoview du Mont-Blanc,﻿Mont Blanc sztereonézet,﻿Grammatica del Monte Bianco,﻿Monblano stereorodinys,﻿Stereotype Mont Blanc,﻿Mont Blanc,﻿Mont Blanc estereoótica,﻿Mont Blanc;,﻿Mont Blanc-stereoview
potlist,de,﻿účinnost,﻿styrkebestemmelse,,﻿δραστικότητα,﻿potency,﻿actividad,﻿tugevus,﻿teho,﻿potager,﻿hatásosság,﻿potenza,﻿stiprumas,﻿werkzaamheid,﻿aktywność,﻿atividade,﻿potența,﻿styrka
acta consistori secreti habiti sanctissimo domino nostro,en,"﻿Obchodní dohoda proti padělání (ACTA), svazek tori sekreti accorti a sancsusimo domino nostro","﻿ACTA, der består af en beboer, bimagsimo nostro",﻿das ACTA erstreckt sich auch auf die Lebensgefährten der Lebensgefährten.,﻿συμφωνία μεταξύ του υπεύθυνου για την καταπολέμηση της παραποίησης/απομίμησης αντικειμένων (tori) που είναι υπεύθυνο για την επιβολή κυρώσεων,,"﻿ACTA, coherente secreti táti sancisísimos dominó, nostro",﻿võltsimisvastast võitlust käsitlev kaubandusleping (ACTAT).,﻿ACTA on lajitellut -imosimo-liiton (ACTA),"﻿l’ACAC compte non seulement le nostro, mais le nostro.","﻿az ACTA, a szektiti sanstiszímo-nostro szektiti","﻿l'ACTA consiste, in particolare, nel secreti habits resistant dtro",﻿kovos su klastojimu prekybos susitarimas,"﻿voor de ACTA is het in handen van de inwoners i sanctissimo, domino-nostro.",﻿ACTA parti ssantytissimo „nostro”,﻿ata realizada no âmbito do ATA — habitui habiti sansmsimo dominó nostro,﻿ACTA de la rândul său la „nostro” („nostro”);,"﻿Acta (Acta) som utsöndras från habii sancho-veno, nostroo"
Madame Bovary de Gustave Flaubert,fr,﻿Pí Boary de Gustave Flaubert,﻿Boary de Gustave Flaubert,﻿Frau Bovary von Gustav Flaubert,﻿Κα Boary de Gustave Flaubert,﻿Ms Boary de Gustave Flaubert,﻿Sra. Boary de Gustave Flaubert,﻿Boary de Gustave Flubert,﻿Boary de Gustave Flaubert,,﻿Boary de Gustave Flaubert,﻿Sig.ra Boary de Gustave Flaubert,﻿Gustave de Gustave Flaubert,﻿Mevr. Boary de Gustave Flaubert,﻿Pani Boary de Gustave Flaubert,﻿Boy de Gustave Flaubert,﻿Dna Boary de Gustave Flaubert,﻿Boary de Gustave Faubert
